functions                                            uri                                                                                           times  
String.==                                            third_party/dart/sdk/lib/_internal/vm/lib/string_patch.dart:0:0                               2      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:493:5                      1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:518:3                      1      
_OperatorEqualsAndHashCode._equals                   third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._equals                   third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:503:13                     1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:500:19                     1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:486:3                      1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                     1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        5      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        5      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:524:12                     1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_HashBase._hashPattern                               third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_OperatorEqualsAndHashCode._hashCode                 third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        2      
_LinkedHashMapMixin._set                             third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:518:3                      1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
_LinkedHashMapMixin._findValueOrInsertPoint          third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:0:0                        1      
stub TopTypeTypeTest                                 ??:0:0                                                                                        1      
