functions                                                uri                                                                                            times  
PlatformDispatcher._beginFrame                           lib/ui/platform_dispatcher.dart:396:3                                                          1      
SchedulerBinding._handleBeginFrame                       /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1141:3           1      
SchedulerBinding._handleBeginFrame                       /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1150:5           1      
SchedulerBinding.handleBeginFrame                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1238:19          1      
_LinkedHashMapMixin.forEach                              third_party/dart/sdk/lib/_internal/vm_shared/lib/compact_hash.dart:635:15                      1      
SchedulerBinding.handleBeginFrame.<anonymous closure>    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1233:25          1      
Ticker._tick                                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/ticker.dart:252:3             1      
Ticker._tick                                             /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/ticker.dart:252:3             1      
Ticker.scheduleTick                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/ticker.dart:0:0               1      
SchedulerBinding.scheduleFrameCallback                   /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:606:49           1      
SchedulerBinding.scheduleFrame                           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:926:3            1      
PlatformDispatcher._scheduleFrame                        lib/ui/platform_dispatcher.dart:0:0                                                            1      
??                                                       ??:0:0                                                                                         2      
_drawFrame                                               lib/ui/hooks.dart:281:1                                                                        6      
_drawFrame                                               lib/ui/hooks.dart:281:1                                                                        6      
PlatformDispatcher._drawFrame                            lib/ui/platform_dispatcher.dart:418:3                                                          6      
_invoke                                                  lib/ui/hooks.dart:314:10                                                                       6      
SchedulerBinding._handleDrawFrame                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1153:3           6      
SchedulerBinding._handleDrawFrame                        /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1171:5           6      
new _GrowableList.of                                     third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                           6      
new _GrowableList.of                                     third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                           6      
new _GrowableList.of                                     third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:144:28                           6      
SchedulerBinding._invokeFrameCallback                    /Users/littlegnal/dev/flutter/packages/flutter/lib/src/scheduler/binding.dart:1398:18          7      
RendererBinding._handlePersistentFrameCallback           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:467:3            6      
RendererBinding._handlePersistentFrameCallback           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/rendering/binding.dart:469:5            6      
WidgetsBinding.drawFrame                                 /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/binding.dart:1164:13            1      
List.iterator                                            third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:507:16                           1      
List.iterator                                            third_party/dart/sdk/lib/_internal/vm/lib/growable_array.dart:507:16                           1      
MultiChildRenderObjectElement.update                     /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:6924:24          2      
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           2      
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           2      
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           1      
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           1      
_InheritedNotifierElement.update                         /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/inherited_notifier.dart:97:3    1      
ProxyElement.update                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5803:3           16     
StatefulElement.update                                   /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5647:3           22     
StatefulElement.performRebuild                           /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:5638:3           23     
Element.updateChild                                      /Users/littlegnal/dev/flutter/packages/flutter/lib/src/widgets/framework.dart:3832:9           20     
